name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)파커스,65690,Dec-12,53723898,13437878,97057594,70184406,19040652,89038818,221,5850000,78016942,741053,4360,3152547,0.95
(주)파커스,65690,Dec-13,53144496,13050049,93653729,65402679,20390293,75289331,232,5850000,73263436,-4781727,3795,366018,-6.32
(주)파커스,65690,Dec-14,52139800,14127595,92309822,68588456,15827595,65862150,223,5850000,76482227,3185777,2860,1313268,4.25
(주)파커스,65690,Dec-15,52543259,9657563,93293970,72092215,10864308,69895109,167,6282900,82429662,3503760,5050,2769251,4.41
(주)파커스,65690,Dec-16,66827178,12295420,100842275,74628468,12995420,63854994,169,6824026,87846855,2536253,3880,4195151,2.98
(주)파커스,65690,Dec-17,91191698,16341066,118886918,72008838,29537770,64532486,125,6932250,89349149,-2587245,3280,-821254,-2.97
(주)파커스,65690,Dec-18,81861161,26523588,120125782,76548869,26523588,100153884,108,6981755,93602194,4523593,3195,2206296,4.99
(주)파커스,65690,Dec-19,65564770,24061944,117947379,69008963,35245098,100770338,101,6981755,82702281,-3785758,2840,-4129339,-4.06
(주)파커스,65690,Dec-20,58070840,25280002,107505403,58762056,33934377,78306082,87,6981755,73571026,-8753278,2885,-2249264,-10.56
(주)파트론,91700,Dec-10,102874000,85138000,209929000,79813000,93673000,272661000,356,9998000,116256000,19549000,21850,20519159,22.81
(주)파트론,91700,Dec-11,150319000,142675000,297362000,100432000,155131000,425918000,357,14934000,142231000,24277000,14450,30271000,20.64
(주)파트론,91700,Dec-12,222415342,220852251,435663843,166035202,237875699,873081344,427,19377290,197788144,71286978,19550,91150869,43.29
(주)파트론,91700,Dec-13,244478138,215898010,562067579,260533330,258556758,1099543376,460,27078205,303510820,110364978,14250,134907855,44.19
(주)파트론,91700,Dec-14,207821316,154190806,514737968,291935661,178771107,769815864,466,27078205,335966861,49411756,11750,66233614,16.27
(주)파트론,91700,Dec-15,182827913,136011319,509589438,318170866,146996352,805803652,482,27078205,362593086,45638104,9870,58789362,12.52
(주)파트론,91700,Dec-16,192120517,116260577,506193291,326791100,121071991,791415721,472,27078205,385121300,28268101,10350,38223749,6.56
(주)파트론,91700,Dec-17,201986013,144809125,511092139,317582629,152287583,791339853,470,27078205,358804556,4464966,9440,11046486,0.38
(주)파트론,91700,Dec-18,176055767,116377480,463715097,314381276,118765671,796482853,455,27078205,344949426,11197572,8180,30208028,3.06
(주)파트론,91700,Dec-19,215175014,114854244,520807910,364470552,118690365,1254596912,460,27078205,402117545,64151886,13200,105172046,18.71
