name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,income,stock_num,stock,roe,ebt,interest,facevalue
(주)모바일리더,100030,Dec-15,19999805,2418985,34097530,22367347,2626002,14304760,78,1641857,31471528,70291,-890492,3283714,13250,0.14,-120882,-28409,500
(주)모바일리더,100030,Dec-20,22295714,15719518,56013560,30438077,19002846,20169960,72,1641857,37010714,5216268,4498560,3283714,18750,14.99,6508864,-220033,500
(주)모바일리더,100030,Dec-19,21585744,5400960,37969975,25402971,6039537,23558937,66,1641857,31930438,-1522744,4967887,3283714,20700,-5.58,-794233,0,500
(주)모비릭스,348030,Dec-17,,,,,,,,,,,,,,,,,
(주)모비릭스,348030,Dec-18,,,,,,,,,,,,,,,,,
(주)모비릭스,348030,Dec-19,,,,,,,,,,,,,,,,,
(주)모비릭스,348030,Dec-20,,,,,,,63,,,,,,,,,,
(주)모비릭스,348030,Dec-16,,,,,,,,,,,,,,,,,
(주)모비스,250060,Dec-17,,,,,,,24,,,,,,1720,,,,
(주)모비스,250060,Dec-18,17096766,369965,27598719,-957548,3171370,2496632,24,3217131,24427350,-353742,-1473148,32171314,4405,-1.38,-7206,-51967,100
(주)모비스,250060,Dec-19,21290074,4366243,42509164,-1488405,8943978,12147693,28,3217131,33565186,-559611,-1726109,32171314,2275,-2.35,-437142,-63713,100
(주)모비스,250060,Dec-20,26235749,11353959,47066275,-2920361,13666738,13892032,27,3217131,33399537,123072,-393202,32171314,2545,-5.79,1335985,-62605,100
(주)모비스,250060,Dec-16,,,,,,,19,,,,,,2000,,,,
(주)미래아이앤지,7120,Dec-10,10189200,14770301,39242077,-3874188,17204718,15474254,83,11545123,22037359,-2185056,,23090245,700,-19.85,489892,-324133,500
(주)미래아이앤지,7120,Dec-12,7500542,5068618,37376216,-521897,12191251,35018015,108,11545123,25184964,418691,1369454,23090245,4340,1.59,658627,-443251,500
(주)미래아이앤지,7120,Dec-13,17931623,13990641,33288537,-10612792,15049727,26771535,81,11819096,18238809,-12193462,-4432119,23638191,2120,-56.41,-12012383,-391825,500
(주)미래아이앤지,7120,Dec-14,5839036,6545080,48844887,-29080236,11025578,18787582,55,26761234,37819309,-18683618,-5989113,53522468,1090,-66.73,-18683618,-491591,500
(주)미래아이앤지,7120,Dec-15,36653416,2083554,47974558,-27955413,2975551,9161388,51,29078470,44999007,1178478,-1461589,58156940,2605,2.85,1461952,0,500
(주)미래아이앤지,7120,Dec-16,13189476,1970098,52119332,-30196992,2877965,9828639,48,31793660,49241367,-2343831,-1644589,63587319,1355,-4.96,-2343831,0,500
(주)미래아이앤지,7120,Dec-17,26447989,2095996,68822164,-32821615,3120271,7707135,38,51793660,65701893,-2696717,-2937282,103587319,541,-4.64,-2696717,0,500
(주)미래아이앤지,7120,Dec-18,23216877,1445875,57570343,-44111744,2436861,6445366,44,51793660,55133482,-10844132,-1423529,103587319,410,-17.96,-10844132,-22,500
